model,instrument_type,instrument,quandl_id
EQUITY_TREND_NUE,NUE,STOCK,YAHOO/NUE
EQUITY_TREND_NVDA,NVDA,STOCK,YAHOO/NVDA
EQUITY_TREND_ORLY,ORLY,STOCK,YAHOO/ORLY
EQUITY_TREND_OXY,OXY,STOCK,YAHOO/OXY
EQUITY_TREND_OMC,OMC,STOCK,YAHOO/OMC
EQUITY_TREND_OKE,OKE,STOCK,YAHOO/OKE
EQUITY_TREND_ORCL,ORCL,STOCK,YAHOO/ORCL
EQUITY_TREND_OI,OI,STOCK,YAHOO/OI
EQUITY_TREND_PCAR,PCAR,STOCK,YAHOO/PCAR
EQUITY_TREND_PH,PH,STOCK,YAHOO/PH
EQUITY_TREND_PDCO,PDCO,STOCK,YAHOO/PDCO
EQUITY_TREND_PAYX,PAYX,STOCK,YAHOO/PAYX
EQUITY_TREND_PYPL,PYPL,STOCK,YAHOO/PYPL
EQUITY_TREND_PNR,PNR,STOCK,YAHOO/PNR
EQUITY_TREND_PBCT,PBCT,STOCK,YAHOO/PBCT
EQUITY_TREND_PEP,PEP,STOCK,YAHOO/PEP
EQUITY_TREND_PKI,PKI,STOCK,YAHOO/PKI
EQUITY_TREND_PRGO,PRGO,STOCK,YAHOO/PRGO
EQUITY_TREND_PFE,PFE,STOCK,YAHOO/PFE
EQUITY_TREND_PCG,PCG,STOCK,YAHOO/PCG
EQUITY_TREND_PM,PM,STOCK,YAHOO/PM
EQUITY_TREND_PSX,PSX,STOCK,YAHOO/PSX
EQUITY_TREND_PNW,PNW,STOCK,YAHOO/PNW
EQUITY_TREND_PXD,PXD,STOCK,YAHOO/PXD
EQUITY_TREND_PBI,PBI,STOCK,YAHOO/PBI
EQUITY_TREND_PNC,PNC,STOCK,YAHOO/PNC
EQUITY_TREND_RL,RL,STOCK,YAHOO/RL
EQUITY_TREND_PPG,PPG,STOCK,YAHOO/PPG
EQUITY_TREND_PPL,PPL,STOCK,YAHOO/PPL
EQUITY_TREND_PX,PX,STOCK,YAHOO/PX
EQUITY_TREND_CFG,CFG,STOCK,YAHOO/CFG
EQUITY_TREND_PCLN,PCLN,STOCK,YAHOO/PCLN
EQUITY_TREND_PFG,PFG,STOCK,YAHOO/PFG
EQUITY_TREND_PG,PG,STOCK,YAHOO/PG
EQUITY_TREND_PGR,PGR,STOCK,YAHOO/PGR
EQUITY_TREND_PLD,PLD,STOCK,YAHOO/PLD
EQUITY_TREND_PRU,PRU,STOCK,YAHOO/PRU
EQUITY_TREND_PEG,PEG,STOCK,YAHOO/PEG
